y_pred	 y	 loss
tensor([0.4163], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.8289, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4238], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.8154, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4312], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.8023, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4385], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7897, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4457], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7775, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4528], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7658, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4598], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7544, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4667], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7434, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4734], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7328, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4801], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7226, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4867], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7127, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4931], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.7031, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.4995], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.6939, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.5057], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.6850, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.5118], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.6764, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.5178], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.6681, grad_fn=<BinaryCrossEntropyBackward>)
tensor([0.5237], grad_fn=<SigmoidBackward>) tensor([0.8598]) tensor(0.6601, grad_fn=<BinaryCrossEntropyBackward>)
